,MAPID,FACNAME,FLOORS,long,lat
0,0,Alfiero Center,3,-78.78706362721049,42.99977327268367
1,1,Alumni Arena Offices,3,-78.7812222071714,43.00015093684983
2,2,Alumni Arena Offices,3,-78.78131943059928,43.00088627416805
3,3,Apartments - Creekside Village,1,-78.78941283046024,43.010477712866596
4,4,Apartments - Creekside Village,1,-78.79329264939429,43.010723547966215
5,5,Apartments - Creekside Village,1,-78.78964020333528,43.01089240151547
6,6,Apartments - Creekside Village,1,-78.79319651858249,43.01197745415849
7,7,Apartments - Hadley Village,1,-78.79524494042076,42.99784111214521
8,8,Baird Hall,5,-78.78446102254082,43.000049400204944
9,9,Baldy Hall,7,-78.78694080536737,43.000361218526336
10,10,Bonner Hall,3,-78.7881504222132,43.00150742651602
11,11,Child Care Center North,1,-78.77987298439521,43.00223984198518
12,12,Clemens Hall,11,-78.78497994280094,43.00039004006668
13,13,Governors - Lehman Hall,4,-78.79435940261963,43.001851468239934
14,14,Jacobs Hall,4,-78.78693523408758,42.999529887578085
15,15,Jacobs Hall,4,-78.7864579135425,42.999607102643914
16,16,Jarvis Hall,3,-78.78707838794618,43.00229998203001
17,17,Knox Hall,2,-78.78785133039693,43.00103068525225
18,18,Lockwood Library,6,-78.78601657003053,43.00023732585901
19,19,Mathematics Building,3,-78.79276498717192,43.00120770286715
20,20,O'Brian Hall,8,-78.78802147679056,43.00041317574484
